
==================== Parser Summary ====================
Num Cell: 7000
Num Net: 10000
Max Degree: 4
Lower Bound: 3430
Higher Bound: 3570

==================== Init Partition Summary ====================
Left: 3431, Right: 3569
Initial State: 5760
[FM(1)]Cut Size: 2588, Current Best Cut: 2588, Repeat for: 1, Not Change for: 0
[FM(2)]Cut Size: 2282, Current Best Cut: 2282, Repeat for: 1, Not Change for: 0
[FM(3)]Cut Size: 2232, Current Best Cut: 2232, Repeat for: 1, Not Change for: 0
[FM(4)]Cut Size: 2232, Current Best Cut: 2232, Repeat for: 2, Not Change for: 1
[FM(5)]Cut Size: 2219, Current Best Cut: 2219, Repeat for: 1, Not Change for: 0
[FM(6)]Cut Size: 2222, Current Best Cut: 2219, Repeat for: 1, Not Change for: 1
[FM(7)]Cut Size: 2211, Current Best Cut: 2211, Repeat for: 1, Not Change for: 0
[FM(8)]Cut Size: 2206, Current Best Cut: 2206, Repeat for: 1, Not Change for: 0
[FM(9)]Cut Size: 2201, Current Best Cut: 2201, Repeat for: 1, Not Change for: 0
[FM(10)]Cut Size: 2201, Current Best Cut: 2201, Repeat for: 2, Not Change for: 1
[FM(11)]Cut Size: 2199, Current Best Cut: 2199, Repeat for: 1, Not Change for: 0
[FM(12)]Cut Size: 2199, Current Best Cut: 2199, Repeat for: 2, Not Change for: 1
[FM(13)]Cut Size: 2199, Current Best Cut: 2199, Repeat for: 3, Not Change for: 2
[FM(14)]Cut Size: 2199, Current Best Cut: 2199, Repeat for: 4, Not Change for: 3
[FM(15)]Cut Size: 2203, Current Best Cut: 2199, Repeat for: 4, Not Change for: 4
[FM(16)]Cut Size: 2203, Current Best Cut: 2199, Repeat for: 4, Not Change for: 5
[FM(17)]Cut Size: 2203, Current Best Cut: 2199, Repeat for: 4, Not Change for: 6
[FM(18)]Cut Size: 2203, Current Best Cut: 2199, Repeat for: 4, Not Change for: 7
[FM(19)]Cut Size: 2205, Current Best Cut: 2199, Repeat for: 4, Not Change for: 8
[FM(20)]Cut Size: 2205, Current Best Cut: 2199, Repeat for: 4, Not Change for: 9
[FM(21)]Cut Size: 2195, Current Best Cut: 2195, Repeat for: 1, Not Change for: 0
[FM(22)]Cut Size: 2193, Current Best Cut: 2193, Repeat for: 1, Not Change for: 0
[FM(23)]Cut Size: 2192, Current Best Cut: 2192, Repeat for: 1, Not Change for: 0
[FM(24)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 1, Not Change for: 0
[FM(25)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 2, Not Change for: 1
[FM(26)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 3, Not Change for: 2
[FM(27)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 4, Not Change for: 3
[FM(28)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 5, Not Change for: 4
[FM(29)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 6, Not Change for: 5
[FM(30)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 7, Not Change for: 6
[FM(31)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 8, Not Change for: 7
[FM(32)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 9, Not Change for: 8
[FM(33)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 10, Not Change for: 9
[FM(34)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 11, Not Change for: 10
[FM(35)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 12, Not Change for: 11
[FM(36)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 13, Not Change for: 12
[FM(37)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 14, Not Change for: 13
[FM(38)]Cut Size: 2191, Current Best Cut: 2191, Repeat for: 15, Not Change for: 14
[FM(39)]Cut Size: 2193, Current Best Cut: 2191, Repeat for: 15, Not Change for: 15
[FM(40)]Cut Size: 2196, Current Best Cut: 2191, Repeat for: 15, Not Change for: 16
[FM(41)]Cut Size: 2196, Current Best Cut: 2191, Repeat for: 15, Not Change for: 17
[FM(42)]Cut Size: 2202, Current Best Cut: 2191, Repeat for: 15, Not Change for: 18
[FM(43)]Cut Size: 2195, Current Best Cut: 2191, Repeat for: 15, Not Change for: 19
[FM(44)]Cut Size: 2206, Current Best Cut: 2191, Repeat for: 15, Not Change for: 20
[FM(45)]Cut Size: 2208, Current Best Cut: 2191, Repeat for: 15, Not Change for: 21
[FM(46)]Cut Size: 2208, Current Best Cut: 2191, Repeat for: 15, Not Change for: 22
[FM(47)]Cut Size: 2222, Current Best Cut: 2191, Repeat for: 15, Not Change for: 23
[FM(48)]Cut Size: 2222, Current Best Cut: 2191, Repeat for: 15, Not Change for: 24
[FM(49)]Cut Size: 2222, Current Best Cut: 2191, Repeat for: 15, Not Change for: 25
[FM(50)]Cut Size: 2222, Current Best Cut: 2191, Repeat for: 15, Not Change for: 26
[FM(51)]Cut Size: 2219, Current Best Cut: 2191, Repeat for: 15, Not Change for: 27
[FM(52)]Cut Size: 2219, Current Best Cut: 2191, Repeat for: 15, Not Change for: 28
[FM(53)]Cut Size: 2198, Current Best Cut: 2191, Repeat for: 15, Not Change for: 29
[FM(54)]Cut Size: 2182, Current Best Cut: 2182, Repeat for: 1, Not Change for: 0
[FM(55)]Cut Size: 2170, Current Best Cut: 2170, Repeat for: 1, Not Change for: 0
[FM(56)]Cut Size: 2169, Current Best Cut: 2169, Repeat for: 1, Not Change for: 0
[FM(57)]Cut Size: 2165, Current Best Cut: 2165, Repeat for: 1, Not Change for: 0
[FM(58)]Cut Size: 2162, Current Best Cut: 2162, Repeat for: 1, Not Change for: 0
[FM(59)]Cut Size: 2160, Current Best Cut: 2160, Repeat for: 1, Not Change for: 0
[FM(60)]Cut Size: 2156, Current Best Cut: 2156, Repeat for: 1, Not Change for: 0
[FM(61)]Cut Size: 2156, Current Best Cut: 2156, Repeat for: 2, Not Change for: 1
[FM(62)]Cut Size: 2155, Current Best Cut: 2155, Repeat for: 1, Not Change for: 0
[FM(63)]Cut Size: 2155, Current Best Cut: 2155, Repeat for: 2, Not Change for: 1
[FM(64)]Cut Size: 2155, Current Best Cut: 2155, Repeat for: 3, Not Change for: 2
[FM(65)]Cut Size: 2155, Current Best Cut: 2155, Repeat for: 4, Not Change for: 3
[FM(66)]Cut Size: 2157, Current Best Cut: 2155, Repeat for: 4, Not Change for: 4
[FM(67)]Cut Size: 2166, Current Best Cut: 2155, Repeat for: 4, Not Change for: 5
[FM(68)]Cut Size: 2171, Current Best Cut: 2155, Repeat for: 4, Not Change for: 6
[FM(69)]Cut Size: 2180, Current Best Cut: 2155, Repeat for: 4, Not Change for: 7
[FM(70)]Cut Size: 2161, Current Best Cut: 2155, Repeat for: 4, Not Change for: 8
[FM(71)]Cut Size: 2177, Current Best Cut: 2155, Repeat for: 4, Not Change for: 9
[FM(72)]Cut Size: 2172, Current Best Cut: 2155, Repeat for: 4, Not Change for: 10
[FM(73)]Cut Size: 2168, Current Best Cut: 2155, Repeat for: 4, Not Change for: 11
[FM(74)]Cut Size: 2176, Current Best Cut: 2155, Repeat for: 4, Not Change for: 12
[FM(75)]Cut Size: 2176, Current Best Cut: 2155, Repeat for: 4, Not Change for: 13
