
==================== Parser Summary ====================
Num Cell: 382489
Num Net: 483599
Max Degree: 4
Lower Bound: 189332
Higher Bound: 193157

==================== Init Partition Summary ====================
Left: 189333, Right: 193156
Initial State: 319495
[FM(66)]Cut Size: 141673, Current Best Cut: 141673, Repeat for: 1, Not Change for: 0
[FM(67)]Cut Size: 141673, Current Best Cut: 141673, Repeat for: 2, Not Change for: 1
[FM(68)]Cut Size: 141688, Current Best Cut: 141673, Repeat for: 2, Not Change for: 2
[FM(69)]Cut Size: 141673, Current Best Cut: 141673, Repeat for: 3, Not Change for: 3
[FM(70)]Cut Size: 141673, Current Best Cut: 141673, Repeat for: 4, Not Change for: 4
[FM(71)]Cut Size: 141671, Current Best Cut: 141671, Repeat for: 1, Not Change for: 0
[FM(72)]Cut Size: 141710, Current Best Cut: 141671, Repeat for: 1, Not Change for: 1
[FM(73)]Cut Size: 141675, Current Best Cut: 141671, Repeat for: 1, Not Change for: 2
[FM(74)]Cut Size: 141668, Current Best Cut: 141668, Repeat for: 1, Not Change for: 0
[FM(75)]Cut Size: 141668, Current Best Cut: 141668, Repeat for: 2, Not Change for: 1
[FM(76)]Cut Size: 141668, Current Best Cut: 141668, Repeat for: 3, Not Change for: 2
[FM(77)]Cut Size: 141667, Current Best Cut: 141667, Repeat for: 1, Not Change for: 0
[FM(78)]Cut Size: 141667, Current Best Cut: 141667, Repeat for: 2, Not Change for: 1
[FM(79)]Cut Size: 141667, Current Best Cut: 141667, Repeat for: 3, Not Change for: 2
[FM(80)]Cut Size: 141667, Current Best Cut: 141667, Repeat for: 4, Not Change for: 3
[FM(81)]Cut Size: 141720, Current Best Cut: 141667, Repeat for: 4, Not Change for: 4
[FM(82)]Cut Size: 141631, Current Best Cut: 141631, Repeat for: 1, Not Change for: 0
[FM(83)]Cut Size: 141561, Current Best Cut: 141561, Repeat for: 1, Not Change for: 0
[FM(84)]Cut Size: 141537, Current Best Cut: 141537, Repeat for: 1, Not Change for: 0
[FM(85)]Cut Size: 141511, Current Best Cut: 141511, Repeat for: 1, Not Change for: 0
[FM(86)]Cut Size: 141505, Current Best Cut: 141505, Repeat for: 1, Not Change for: 0
[FM(87)]Cut Size: 141491, Current Best Cut: 141491, Repeat for: 1, Not Change for: 0
[FM(88)]Cut Size: 141564, Current Best Cut: 141491, Repeat for: 1, Not Change for: 1
[FM(89)]Cut Size: 141497, Current Best Cut: 141491, Repeat for: 1, Not Change for: 2
[FM(90)]Cut Size: 141480, Current Best Cut: 141480, Repeat for: 1, Not Change for: 0
[FM(91)]Cut Size: 141467, Current Best Cut: 141467, Repeat for: 1, Not Change for: 0
[FM(92)]Cut Size: 141495, Current Best Cut: 141467, Repeat for: 1, Not Change for: 1
[FM(93)]Cut Size: 141460, Current Best Cut: 141460, Repeat for: 1, Not Change for: 0
[FM(94)]Cut Size: 141456, Current Best Cut: 141456, Repeat for: 1, Not Change for: 0
[FM(95)]Cut Size: 141450, Current Best Cut: 141450, Repeat for: 1, Not Change for: 0
[FM(96)]Cut Size: 141467, Current Best Cut: 141450, Repeat for: 1, Not Change for: 1
[FM(97)]Cut Size: 141452, Current Best Cut: 141450, Repeat for: 1, Not Change for: 2
[FM(98)]Cut Size: 141440, Current Best Cut: 141440, Repeat for: 1, Not Change for: 0
[FM(99)]Cut Size: 141437, Current Best Cut: 141437, Repeat for: 1, Not Change for: 0
[FM(100)]Cut Size: 141437, Current Best Cut: 141437, Repeat for: 2, Not Change for: 1
[FM(101)]Cut Size: 141435, Current Best Cut: 141435, Repeat for: 1, Not Change for: 0
[FM(102)]Cut Size: 141432, Current Best Cut: 141432, Repeat for: 1, Not Change for: 0
[FM(103)]Cut Size: 141429, Current Best Cut: 141429, Repeat for: 1, Not Change for: 0
[FM(104)]Cut Size: 141429, Current Best Cut: 141429, Repeat for: 2, Not Change for: 1
[FM(105)]Cut Size: 141428, Current Best Cut: 141428, Repeat for: 1, Not Change for: 0
[FM(106)]Cut Size: 141428, Current Best Cut: 141428, Repeat for: 2, Not Change for: 1
[FM(107)]Cut Size: 141428, Current Best Cut: 141428, Repeat for: 3, Not Change for: 2
[FM(108)]Cut Size: 141428, Current Best Cut: 141428, Repeat for: 4, Not Change for: 3
[FM(109)]Cut Size: 141428, Current Best Cut: 141428, Repeat for: 5, Not Change for: 4
[FM(110)]Cut Size: 141428, Current Best Cut: 141428, Repeat for: 6, Not Change for: 5
[FM(111)]Cut Size: 141428, Current Best Cut: 141428, Repeat for: 7, Not Change for: 6
[FM(112)]Cut Size: 141428, Current Best Cut: 141428, Repeat for: 8, Not Change for: 7
[FM(113)]Cut Size: 141411, Current Best Cut: 141411, Repeat for: 1, Not Change for: 0
[FM(114)]Cut Size: 141408, Current Best Cut: 141408, Repeat for: 1, Not Change for: 0
[FM(115)]Cut Size: 141406, Current Best Cut: 141406, Repeat for: 1, Not Change for: 0
[FM(116)]Cut Size: 141406, Current Best Cut: 141406, Repeat for: 2, Not Change for: 1
[FM(117)]Cut Size: 141405, Current Best Cut: 141405, Repeat for: 1, Not Change for: 0
[FM(118)]Cut Size: 141405, Current Best Cut: 141405, Repeat for: 2, Not Change for: 1
[FM(119)]Cut Size: 141405, Current Best Cut: 141405, Repeat for: 3, Not Change for: 2
[FM(120)]Cut Size: 141405, Current Best Cut: 141405, Repeat for: 4, Not Change for: 3
[FM(121)]Cut Size: 141405, Current Best Cut: 141405, Repeat for: 5, Not Change for: 4
[FM(122)]Cut Size: 141405, Current Best Cut: 141405, Repeat for: 6, Not Change for: 5
[FM(123)]Cut Size: 141405, Current Best Cut: 141405, Repeat for: 7, Not Change for: 6
[FM(124)]Cut Size: 141405, Current Best Cut: 141405, Repeat for: 8, Not Change for: 7
[FM(125)]Cut Size: 141448, Current Best Cut: 141405, Repeat for: 8, Not Change for: 8
[FM(126)]Cut Size: 141448, Current Best Cut: 141405, Repeat for: 8, Not Change for: 9
[FM(127)]Cut Size: 141562, Current Best Cut: 141405, Repeat for: 8, Not Change for: 10
[FM(128)]Cut Size: 141562, Current Best Cut: 141405, Repeat for: 8, Not Change for: 11
[FM(129)]Cut Size: 141562, Current Best Cut: 141405, Repeat for: 8, Not Change for: 12
[FM(130)]Cut Size: 141562, Current Best Cut: 141405, Repeat for: 8, Not Change for: 13
[FM(131)]Cut Size: 141649, Current Best Cut: 141405, Repeat for: 8, Not Change for: 14
[FM(132)]Cut Size: 141649, Current Best Cut: 141405, Repeat for: 8, Not Change for: 15
[FM(133)]Cut Size: 141649, Current Best Cut: 141405, Repeat for: 8, Not Change for: 16
[FM(134)]Cut Size: 141649, Current Best Cut: 141405, Repeat for: 8, Not Change for: 17
[FM(135)]Cut Size: 141356, Current Best Cut: 141356, Repeat for: 1, Not Change for: 0
[FM(136)]Cut Size: 141491, Current Best Cut: 141356, Repeat for: 1, Not Change for: 1
[FM(137)]Cut Size: 141287, Current Best Cut: 141287, Repeat for: 1, Not Change for: 0
[FM(138)]Cut Size: 141278, Current Best Cut: 141278, Repeat for: 1, Not Change for: 0
[FM(139)]Cut Size: 141233, Current Best Cut: 141233, Repeat for: 1, Not Change for: 0
[FM(140)]Cut Size: 141292, Current Best Cut: 141233, Repeat for: 1, Not Change for: 1
[FM(141)]Cut Size: 141228, Current Best Cut: 141228, Repeat for: 1, Not Change for: 0
[FM(142)]Cut Size: 141213, Current Best Cut: 141213, Repeat for: 1, Not Change for: 0
[FM(143)]Cut Size: 141200, Current Best Cut: 141200, Repeat for: 1, Not Change for: 0
[FM(144)]Cut Size: 141197, Current Best Cut: 141197, Repeat for: 1, Not Change for: 0
[FM(145)]Cut Size: 141196, Current Best Cut: 141196, Repeat for: 1, Not Change for: 0
[FM(146)]Cut Size: 141196, Current Best Cut: 141196, Repeat for: 2, Not Change for: 1
[FM(147)]Cut Size: 141195, Current Best Cut: 141195, Repeat for: 1, Not Change for: 0
[FM(148)]Cut Size: 141195, Current Best Cut: 141195, Repeat for: 2, Not Change for: 1
[FM(149)]Cut Size: 141195, Current Best Cut: 141195, Repeat for: 3, Not Change for: 2
[FM(150)]Cut Size: 141195, Current Best Cut: 141195, Repeat for: 4, Not Change for: 3
[FM(151)]Cut Size: 141195, Current Best Cut: 141195, Repeat for: 5, Not Change for: 4
[FM(152)]Cut Size: 141195, Current Best Cut: 141195, Repeat for: 6, Not Change for: 5
[FM(153)]Cut Size: 141199, Current Best Cut: 141195, Repeat for: 6, Not Change for: 6
[FM(154)]Cut Size: 141199, Current Best Cut: 141195, Repeat for: 6, Not Change for: 7
[FM(155)]Cut Size: 141199, Current Best Cut: 141195, Repeat for: 6, Not Change for: 8
[FM(156)]Cut Size: 141199, Current Best Cut: 141195, Repeat for: 6, Not Change for: 9
[FM(157)]Cut Size: 141191, Current Best Cut: 141191, Repeat for: 1, Not Change for: 0
[FM(158)]Cut Size: 141221, Current Best Cut: 141191, Repeat for: 1, Not Change for: 1
[FM(159)]Cut Size: 141189, Current Best Cut: 141189, Repeat for: 1, Not Change for: 0
[FM(160)]Cut Size: 141189, Current Best Cut: 141189, Repeat for: 2, Not Change for: 1
[FM(161)]Cut Size: 141189, Current Best Cut: 141189, Repeat for: 3, Not Change for: 2
[FM(162)]Cut Size: 141188, Current Best Cut: 141188, Repeat for: 1, Not Change for: 0
[FM(163)]Cut Size: 141188, Current Best Cut: 141188, Repeat for: 2, Not Change for: 1
[FM(164)]Cut Size: 141207, Current Best Cut: 141188, Repeat for: 2, Not Change for: 2
[FM(165)]Cut Size: 141188, Current Best Cut: 141188, Repeat for: 3, Not Change for: 3
[FM(166)]Cut Size: 141188, Current Best Cut: 141188, Repeat for: 4, Not Change for: 4
[FM(167)]Cut Size: 141233, Current Best Cut: 141188, Repeat for: 4, Not Change for: 5
[FM(168)]Cut Size: 141191, Current Best Cut: 141188, Repeat for: 4, Not Change for: 6
[FM(169)]Cut Size: 141203, Current Best Cut: 141188, Repeat for: 4, Not Change for: 7
[FM(170)]Cut Size: 141203, Current Best Cut: 141188, Repeat for: 4, Not Change for: 8
[FM(171)]Cut Size: 141203, Current Best Cut: 141188, Repeat for: 4, Not Change for: 9
[FM(172)]Cut Size: 141203, Current Best Cut: 141188, Repeat for: 4, Not Change for: 10
[FM(173)]Cut Size: 141203, Current Best Cut: 141188, Repeat for: 4, Not Change for: 11
[FM(174)]Cut Size: 141405, Current Best Cut: 141188, Repeat for: 4, Not Change for: 12
[FM(175)]Cut Size: 141192, Current Best Cut: 141188, Repeat for: 4, Not Change for: 13
[FM(176)]Cut Size: 141243, Current Best Cut: 141188, Repeat for: 4, Not Change for: 14
[FM(177)]Cut Size: 141156, Current Best Cut: 141156, Repeat for: 1, Not Change for: 0
[FM(178)]Cut Size: 141157, Current Best Cut: 141156, Repeat for: 1, Not Change for: 1
[FM(179)]Cut Size: 141134, Current Best Cut: 141134, Repeat for: 1, Not Change for: 0
[FM(180)]Cut Size: 141125, Current Best Cut: 141125, Repeat for: 1, Not Change for: 0
[FM(181)]Cut Size: 141149, Current Best Cut: 141125, Repeat for: 1, Not Change for: 1
[FM(182)]Cut Size: 141162, Current Best Cut: 141125, Repeat for: 1, Not Change for: 2
[FM(183)]Cut Size: 141120, Current Best Cut: 141120, Repeat for: 1, Not Change for: 0
[FM(184)]Cut Size: 141115, Current Best Cut: 141115, Repeat for: 1, Not Change for: 0
[FM(185)]Cut Size: 141114, Current Best Cut: 141114, Repeat for: 1, Not Change for: 0
[FM(186)]Cut Size: 141113, Current Best Cut: 141113, Repeat for: 1, Not Change for: 0
[FM(187)]Cut Size: 141113, Current Best Cut: 141113, Repeat for: 2, Not Change for: 1
[FM(188)]Cut Size: 141113, Current Best Cut: 141113, Repeat for: 3, Not Change for: 2
[FM(189)]Cut Size: 141110, Current Best Cut: 141110, Repeat for: 1, Not Change for: 0
[FM(190)]Cut Size: 141109, Current Best Cut: 141109, Repeat for: 1, Not Change for: 0
[FM(191)]Cut Size: 141109, Current Best Cut: 141109, Repeat for: 2, Not Change for: 1
[FM(192)]Cut Size: 141109, Current Best Cut: 141109, Repeat for: 3, Not Change for: 2
[FM(193)]Cut Size: 141109, Current Best Cut: 141109, Repeat for: 4, Not Change for: 3
[FM(194)]Cut Size: 141118, Current Best Cut: 141109, Repeat for: 4, Not Change for: 4
[FM(195)]Cut Size: 141119, Current Best Cut: 141109, Repeat for: 4, Not Change for: 5
[FM(196)]Cut Size: 141119, Current Best Cut: 141109, Repeat for: 4, Not Change for: 6
[FM(197)]Cut Size: 141113, Current Best Cut: 141109, Repeat for: 4, Not Change for: 7
[FM(198)]Cut Size: 141113, Current Best Cut: 141109, Repeat for: 4, Not Change for: 8
[FM(199)]Cut Size: 141113, Current Best Cut: 141109, Repeat for: 4, Not Change for: 9
[FM(200)]Cut Size: 141116, Current Best Cut: 141109, Repeat for: 4, Not Change for: 10
[FM(201)]Cut Size: 141120, Current Best Cut: 141109, Repeat for: 4, Not Change for: 11
[FM(202)]Cut Size: 141194, Current Best Cut: 141109, Repeat for: 4, Not Change for: 12
[FM(203)]Cut Size: 141103, Current Best Cut: 141103, Repeat for: 1, Not Change for: 0
[FM(204)]Cut Size: 141094, Current Best Cut: 141094, Repeat for: 1, Not Change for: 0
[FM(205)]Cut Size: 141084, Current Best Cut: 141084, Repeat for: 1, Not Change for: 0
[FM(206)]Cut Size: 141082, Current Best Cut: 141082, Repeat for: 1, Not Change for: 0
[FM(207)]Cut Size: 141078, Current Best Cut: 141078, Repeat for: 1, Not Change for: 0
[FM(208)]Cut Size: 141075, Current Best Cut: 141075, Repeat for: 1, Not Change for: 0
[FM(209)]Cut Size: 141074, Current Best Cut: 141074, Repeat for: 1, Not Change for: 0
[FM(210)]Cut Size: 141074, Current Best Cut: 141074, Repeat for: 2, Not Change for: 1
[FM(211)]Cut Size: 141074, Current Best Cut: 141074, Repeat for: 3, Not Change for: 2
[FM(212)]Cut Size: 141074, Current Best Cut: 141074, Repeat for: 4, Not Change for: 3
[FM(213)]Cut Size: 141074, Current Best Cut: 141074, Repeat for: 5, Not Change for: 4
[FM(214)]Cut Size: 141074, Current Best Cut: 141074, Repeat for: 6, Not Change for: 5
[FM(215)]Cut Size: 141074, Current Best Cut: 141074, Repeat for: 7, Not Change for: 6
[FM(216)]Cut Size: 141074, Current Best Cut: 141074, Repeat for: 8, Not Change for: 7
[FM(217)]Cut Size: 141274, Current Best Cut: 141074, Repeat for: 8, Not Change for: 8
[FM(218)]Cut Size: 141274, Current Best Cut: 141074, Repeat for: 8, Not Change for: 9
[FM(219)]Cut Size: 141383, Current Best Cut: 141074, Repeat for: 8, Not Change for: 10
[FM(220)]Cut Size: 142018, Current Best Cut: 141074, Repeat for: 8, Not Change for: 11
[FM(221)]Cut Size: 142077, Current Best Cut: 141074, Repeat for: 8, Not Change for: 12
[FM(222)]Cut Size: 142077, Current Best Cut: 141074, Repeat for: 8, Not Change for: 13
[FM(223)]Cut Size: 141623, Current Best Cut: 141074, Repeat for: 8, Not Change for: 14
[FM(224)]Cut Size: 141624, Current Best Cut: 141074, Repeat for: 8, Not Change for: 15
[FM(225)]Cut Size: 141114, Current Best Cut: 141074, Repeat for: 8, Not Change for: 16
[FM(226)]Cut Size: 141114, Current Best Cut: 141074, Repeat for: 8, Not Change for: 17
[FM(227)]Cut Size: 141114, Current Best Cut: 141074, Repeat for: 8, Not Change for: 18
[FM(228)]Cut Size: 141114, Current Best Cut: 141074, Repeat for: 8, Not Change for: 19
[FM(229)]Cut Size: 141460, Current Best Cut: 141074, Repeat for: 8, Not Change for: 20
[FM(230)]Cut Size: 141460, Current Best Cut: 141074, Repeat for: 8, Not Change for: 21
[FM(231)]Cut Size: 141460, Current Best Cut: 141074, Repeat for: 8, Not Change for: 22
[FM(232)]Cut Size: 141458, Current Best Cut: 141074, Repeat for: 8, Not Change for: 23
[FM(233)]Cut Size: 141458, Current Best Cut: 141074, Repeat for: 8, Not Change for: 24
[FM(234)]Cut Size: 141458, Current Best Cut: 141074, Repeat for: 8, Not Change for: 25
[FM(235)]Cut Size: 141458, Current Best Cut: 141074, Repeat for: 8, Not Change for: 26
[FM(236)]Cut Size: 141458, Current Best Cut: 141074, Repeat for: 8, Not Change for: 27
[FM(237)]Cut Size: 141783, Current Best Cut: 141074, Repeat for: 8, Not Change for: 28
[FM(238)]Cut Size: 141825, Current Best Cut: 141074, Repeat for: 8, Not Change for: 29
[FM(239)]Cut Size: 141930, Current Best Cut: 141074, Repeat for: 8, Not Change for: 30
[FM(240)]Cut Size: 141181, Current Best Cut: 141074, Repeat for: 8, Not Change for: 31
[FM(241)]Cut Size: 141181, Current Best Cut: 141074, Repeat for: 8, Not Change for: 32
[FM(242)]Cut Size: 141575, Current Best Cut: 141074, Repeat for: 8, Not Change for: 33
[FM(243)]Cut Size: 141461, Current Best Cut: 141074, Repeat for: 8, Not Change for: 34
[FM(244)]Cut Size: 140839, Current Best Cut: 140839, Repeat for: 1, Not Change for: 0
[FM(245)]Cut Size: 141001, Current Best Cut: 140839, Repeat for: 1, Not Change for: 1
[FM(246)]Cut Size: 140655, Current Best Cut: 140655, Repeat for: 1, Not Change for: 0
[FM(247)]Cut Size: 140765, Current Best Cut: 140655, Repeat for: 1, Not Change for: 1
[FM(248)]Cut Size: 140540, Current Best Cut: 140540, Repeat for: 1, Not Change for: 0
[FM(249)]Cut Size: 140611, Current Best Cut: 140540, Repeat for: 1, Not Change for: 1
[FM(250)]Cut Size: 140501, Current Best Cut: 140501, Repeat for: 1, Not Change for: 0
[FM(251)]Cut Size: 140476, Current Best Cut: 140476, Repeat for: 1, Not Change for: 0
[FM(252)]Cut Size: 140447, Current Best Cut: 140447, Repeat for: 1, Not Change for: 0
[FM(253)]Cut Size: 140461, Current Best Cut: 140447, Repeat for: 1, Not Change for: 1
[FM(254)]Cut Size: 140432, Current Best Cut: 140432, Repeat for: 1, Not Change for: 0
[FM(255)]Cut Size: 140449, Current Best Cut: 140432, Repeat for: 1, Not Change for: 1
[FM(256)]Cut Size: 140421, Current Best Cut: 140421, Repeat for: 1, Not Change for: 0
[FM(257)]Cut Size: 140413, Current Best Cut: 140413, Repeat for: 1, Not Change for: 0
[FM(258)]Cut Size: 140407, Current Best Cut: 140407, Repeat for: 1, Not Change for: 0
[FM(259)]Cut Size: 140406, Current Best Cut: 140406, Repeat for: 1, Not Change for: 0
[FM(260)]Cut Size: 140405, Current Best Cut: 140405, Repeat for: 1, Not Change for: 0
[FM(261)]Cut Size: 140405, Current Best Cut: 140405, Repeat for: 2, Not Change for: 1
[FM(262)]Cut Size: 140405, Current Best Cut: 140405, Repeat for: 3, Not Change for: 2
[FM(263)]Cut Size: 140405, Current Best Cut: 140405, Repeat for: 4, Not Change for: 3
[FM(264)]Cut Size: 140428, Current Best Cut: 140405, Repeat for: 4, Not Change for: 4
[FM(265)]Cut Size: 140428, Current Best Cut: 140405, Repeat for: 4, Not Change for: 5
[FM(266)]Cut Size: 140428, Current Best Cut: 140405, Repeat for: 4, Not Change for: 6
[FM(267)]Cut Size: 140658, Current Best Cut: 140405, Repeat for: 4, Not Change for: 7
[FM(268)]Cut Size: 140658, Current Best Cut: 140405, Repeat for: 4, Not Change for: 8
[FM(269)]Cut Size: 140975, Current Best Cut: 140405, Repeat for: 4, Not Change for: 9
[FM(270)]Cut Size: 140375, Current Best Cut: 140375, Repeat for: 1, Not Change for: 0
[FM(271)]Cut Size: 140514, Current Best Cut: 140375, Repeat for: 1, Not Change for: 1
[FM(272)]Cut Size: 140236, Current Best Cut: 140236, Repeat for: 1, Not Change for: 0
[FM(273)]Cut Size: 140328, Current Best Cut: 140236, Repeat for: 1, Not Change for: 1
[FM(274)]Cut Size: 140162, Current Best Cut: 140162, Repeat for: 1, Not Change for: 0
[FM(275)]Cut Size: 140251, Current Best Cut: 140162, Repeat for: 1, Not Change for: 1
[FM(276)]Cut Size: 140151, Current Best Cut: 140151, Repeat for: 1, Not Change for: 0
[FM(277)]Cut Size: 140259, Current Best Cut: 140151, Repeat for: 1, Not Change for: 1
[FM(278)]Cut Size: 140122, Current Best Cut: 140122, Repeat for: 1, Not Change for: 0
[FM(279)]Cut Size: 140108, Current Best Cut: 140108, Repeat for: 1, Not Change for: 0
[FM(280)]Cut Size: 140097, Current Best Cut: 140097, Repeat for: 1, Not Change for: 0
[FM(281)]Cut Size: 140096, Current Best Cut: 140096, Repeat for: 1, Not Change for: 0
[FM(282)]Cut Size: 140090, Current Best Cut: 140090, Repeat for: 1, Not Change for: 0
[FM(283)]Cut Size: 140093, Current Best Cut: 140090, Repeat for: 1, Not Change for: 1
[FM(284)]Cut Size: 140091, Current Best Cut: 140090, Repeat for: 1, Not Change for: 2
[FM(285)]Cut Size: 140093, Current Best Cut: 140090, Repeat for: 1, Not Change for: 3
[FM(286)]Cut Size: 140664, Current Best Cut: 140090, Repeat for: 1, Not Change for: 4
[FM(287)]Cut Size: 140903, Current Best Cut: 140090, Repeat for: 1, Not Change for: 5
[FM(288)]Cut Size: 140383, Current Best Cut: 140090, Repeat for: 1, Not Change for: 6
[FM(289)]Cut Size: 140357, Current Best Cut: 140090, Repeat for: 1, Not Change for: 7
[FM(290)]Cut Size: 140121, Current Best Cut: 140090, Repeat for: 1, Not Change for: 8
[FM(291)]Cut Size: 140212, Current Best Cut: 140090, Repeat for: 1, Not Change for: 9
[FM(292)]Cut Size: 140212, Current Best Cut: 140090, Repeat for: 1, Not Change for: 10
[FM(293)]Cut Size: 140050, Current Best Cut: 140050, Repeat for: 1, Not Change for: 0
