
==================== Parser Summary ====================
Num Cell: 150750
Num Net: 166998
Max Degree: 31
Lower Bound: 60300
Higher Bound: 90450

==================== Init Partition Summary ====================
Left: 60301, Right: 90449
Initial State: 95680
[FM(1)]Cut Size: 25586, Current Best Cut: 25586, Repeat for: 1, Not Change for: 0
[FM(2)]Cut Size: 20351, Current Best Cut: 20351, Repeat for: 1, Not Change for: 0
[FM(3)]Cut Size: 19425, Current Best Cut: 19425, Repeat for: 1, Not Change for: 0
[FM(4)]Cut Size: 19246, Current Best Cut: 19246, Repeat for: 1, Not Change for: 0
[FM(5)]Cut Size: 19126, Current Best Cut: 19126, Repeat for: 1, Not Change for: 0
[FM(6)]Cut Size: 19180, Current Best Cut: 19126, Repeat for: 1, Not Change for: 1
[FM(7)]Cut Size: 19072, Current Best Cut: 19072, Repeat for: 1, Not Change for: 0
[FM(8)]Cut Size: 19083, Current Best Cut: 19072, Repeat for: 1, Not Change for: 1
[FM(9)]Cut Size: 19029, Current Best Cut: 19029, Repeat for: 1, Not Change for: 0
[FM(10)]Cut Size: 19071, Current Best Cut: 19029, Repeat for: 1, Not Change for: 1
[FM(11)]Cut Size: 19025, Current Best Cut: 19025, Repeat for: 1, Not Change for: 0
[FM(12)]Cut Size: 19069, Current Best Cut: 19025, Repeat for: 1, Not Change for: 1
[FM(13)]Cut Size: 19025, Current Best Cut: 19025, Repeat for: 2, Not Change for: 2
[FM(14)]Cut Size: 19069, Current Best Cut: 19025, Repeat for: 2, Not Change for: 3
[FM(15)]Cut Size: 17805, Current Best Cut: 17805, Repeat for: 1, Not Change for: 0
[FM(16)]Cut Size: 8622, Current Best Cut: 8622, Repeat for: 1, Not Change for: 0
[FM(17)]Cut Size: 8281, Current Best Cut: 8281, Repeat for: 1, Not Change for: 0
[FM(18)]Cut Size: 8203, Current Best Cut: 8203, Repeat for: 1, Not Change for: 0
[FM(19)]Cut Size: 8175, Current Best Cut: 8175, Repeat for: 1, Not Change for: 0
[FM(20)]Cut Size: 8192, Current Best Cut: 8175, Repeat for: 1, Not Change for: 1
[FM(21)]Cut Size: 8175, Current Best Cut: 8175, Repeat for: 2, Not Change for: 2
[FM(22)]Cut Size: 8192, Current Best Cut: 8175, Repeat for: 2, Not Change for: 3
[FM(23)]Cut Size: 13281, Current Best Cut: 8175, Repeat for: 2, Not Change for: 4
[FM(24)]Cut Size: 9984, Current Best Cut: 8175, Repeat for: 2, Not Change for: 5
[FM(25)]Cut Size: 11973, Current Best Cut: 8175, Repeat for: 2, Not Change for: 6
[FM(26)]Cut Size: 8406, Current Best Cut: 8175, Repeat for: 2, Not Change for: 7
[FM(27)]Cut Size: 4182, Current Best Cut: 4182, Repeat for: 1, Not Change for: 0
[FM(28)]Cut Size: 4152, Current Best Cut: 4152, Repeat for: 1, Not Change for: 0
[FM(29)]Cut Size: 4148, Current Best Cut: 4148, Repeat for: 1, Not Change for: 0
[FM(30)]Cut Size: 4148, Current Best Cut: 4148, Repeat for: 2, Not Change for: 1
[FM(31)]Cut Size: 4148, Current Best Cut: 4148, Repeat for: 3, Not Change for: 2
[FM(32)]Cut Size: 4148, Current Best Cut: 4148, Repeat for: 4, Not Change for: 3
[FM(33)]Cut Size: 9750, Current Best Cut: 4148, Repeat for: 4, Not Change for: 4
[FM(34)]Cut Size: 4042, Current Best Cut: 4042, Repeat for: 1, Not Change for: 0
[FM(35)]Cut Size: 4032, Current Best Cut: 4032, Repeat for: 1, Not Change for: 0
[FM(36)]Cut Size: 4032, Current Best Cut: 4032, Repeat for: 2, Not Change for: 1
[FM(37)]Cut Size: 4032, Current Best Cut: 4032, Repeat for: 3, Not Change for: 2
[FM(38)]Cut Size: 4032, Current Best Cut: 4032, Repeat for: 4, Not Change for: 3
[FM(39)]Cut Size: 4032, Current Best Cut: 4032, Repeat for: 5, Not Change for: 4
[FM(40)]Cut Size: 4032, Current Best Cut: 4032, Repeat for: 6, Not Change for: 5
[FM(41)]Cut Size: 9057, Current Best Cut: 4032, Repeat for: 6, Not Change for: 6
[FM(42)]Cut Size: 3917, Current Best Cut: 3917, Repeat for: 1, Not Change for: 0
