
==================== Parser Summary ====================
Num Cell: 66666
Num Net: 88888
Max Degree: 5
Lower Bound: 29999.7
Higher Bound: 36666.3

==================== Init Partition Summary ====================
Left: 30000, Right: 36666
Initial State: 58754
[FM(1)]Cut Size: 31544, Current Best Cut: 31544, Repeat for: 1, Not Change for: 0
[FM(2)]Cut Size: 29210, Current Best Cut: 29210, Repeat for: 1, Not Change for: 0
[FM(3)]Cut Size: 28431, Current Best Cut: 28431, Repeat for: 1, Not Change for: 0
[FM(4)]Cut Size: 28619, Current Best Cut: 28431, Repeat for: 1, Not Change for: 1
[FM(5)]Cut Size: 27763, Current Best Cut: 27763, Repeat for: 1, Not Change for: 0
[FM(6)]Cut Size: 27952, Current Best Cut: 27763, Repeat for: 1, Not Change for: 1
[FM(7)]Cut Size: 27940, Current Best Cut: 27763, Repeat for: 1, Not Change for: 2
[FM(8)]Cut Size: 27733, Current Best Cut: 27733, Repeat for: 1, Not Change for: 0
[FM(9)]Cut Size: 27609, Current Best Cut: 27609, Repeat for: 1, Not Change for: 0
[FM(10)]Cut Size: 27747, Current Best Cut: 27609, Repeat for: 1, Not Change for: 1
[FM(11)]Cut Size: 27618, Current Best Cut: 27609, Repeat for: 1, Not Change for: 2
[FM(12)]Cut Size: 27254, Current Best Cut: 27254, Repeat for: 1, Not Change for: 0
[FM(13)]Cut Size: 27276, Current Best Cut: 27254, Repeat for: 1, Not Change for: 1
[FM(14)]Cut Size: 27401, Current Best Cut: 27254, Repeat for: 1, Not Change for: 2
[FM(15)]Cut Size: 26925, Current Best Cut: 26925, Repeat for: 1, Not Change for: 0
[FM(16)]Cut Size: 27268, Current Best Cut: 26925, Repeat for: 1, Not Change for: 1
[FM(17)]Cut Size: 27163, Current Best Cut: 26925, Repeat for: 1, Not Change for: 2
[FM(18)]Cut Size: 27162, Current Best Cut: 26925, Repeat for: 1, Not Change for: 3
[FM(19)]Cut Size: 27162, Current Best Cut: 26925, Repeat for: 1, Not Change for: 4
[FM(20)]Cut Size: 27162, Current Best Cut: 26925, Repeat for: 1, Not Change for: 5
[FM(21)]Cut Size: 27063, Current Best Cut: 26925, Repeat for: 1, Not Change for: 6
[FM(22)]Cut Size: 27075, Current Best Cut: 26925, Repeat for: 1, Not Change for: 7
[FM(23)]Cut Size: 27075, Current Best Cut: 26925, Repeat for: 1, Not Change for: 8
[FM(24)]Cut Size: 27075, Current Best Cut: 26925, Repeat for: 1, Not Change for: 9
[FM(25)]Cut Size: 27075, Current Best Cut: 26925, Repeat for: 1, Not Change for: 10
