
==================== Parser Summary ====================
Num Cell: 3000
Num Net: 5000
Max Degree: 5
Lower Bound: 1485
Higher Bound: 1515

==================== Init Partition Summary ====================
Left: 1486, Right: 1514
Initial State: 2901
[FM(1)]Cut Size: 1419, Current Best Cut: 1419, Repeat for: 1, Not Change for: 0
[FM(2)]Cut Size: 1308, Current Best Cut: 1308, Repeat for: 1, Not Change for: 0
[FM(3)]Cut Size: 1274, Current Best Cut: 1274, Repeat for: 1, Not Change for: 0
[FM(4)]Cut Size: 1265, Current Best Cut: 1265, Repeat for: 1, Not Change for: 0
[FM(5)]Cut Size: 1260, Current Best Cut: 1260, Repeat for: 1, Not Change for: 0
[FM(6)]Cut Size: 1255, Current Best Cut: 1255, Repeat for: 1, Not Change for: 0
[FM(7)]Cut Size: 1267, Current Best Cut: 1255, Repeat for: 1, Not Change for: 1
[FM(8)]Cut Size: 1252, Current Best Cut: 1252, Repeat for: 1, Not Change for: 0
[FM(9)]Cut Size: 1264, Current Best Cut: 1252, Repeat for: 1, Not Change for: 1
[FM(10)]Cut Size: 1254, Current Best Cut: 1252, Repeat for: 1, Not Change for: 2
[FM(11)]Cut Size: 1263, Current Best Cut: 1252, Repeat for: 1, Not Change for: 3
[FM(12)]Cut Size: 1251, Current Best Cut: 1251, Repeat for: 1, Not Change for: 0
[FM(13)]Cut Size: 1265, Current Best Cut: 1251, Repeat for: 1, Not Change for: 1
[FM(14)]Cut Size: 1243, Current Best Cut: 1243, Repeat for: 1, Not Change for: 0
[FM(15)]Cut Size: 1255, Current Best Cut: 1243, Repeat for: 1, Not Change for: 1
[FM(16)]Cut Size: 1239, Current Best Cut: 1239, Repeat for: 1, Not Change for: 0
[FM(17)]Cut Size: 1240, Current Best Cut: 1239, Repeat for: 1, Not Change for: 1
[FM(18)]Cut Size: 1233, Current Best Cut: 1233, Repeat for: 1, Not Change for: 0
[FM(19)]Cut Size: 1249, Current Best Cut: 1233, Repeat for: 1, Not Change for: 1
[FM(20)]Cut Size: 1238, Current Best Cut: 1233, Repeat for: 1, Not Change for: 2
[FM(21)]Cut Size: 1236, Current Best Cut: 1233, Repeat for: 1, Not Change for: 3
[FM(22)]Cut Size: 1236, Current Best Cut: 1233, Repeat for: 1, Not Change for: 4
