
==================== Parser Summary ====================
Num Cell: 150750
Num Net: 166998
Max Degree: 4
Lower Bound: 74621.2
Higher Bound: 76128.8

==================== Init Partition Summary ====================
Left: 74622, Right: 76128
Initial State: 109852
[FM(66)]Cut Size: 44901, Current Best Cut: 44370, Repeat for: 1, Not Change for: 10
[FM(67)]Cut Size: 44715, Current Best Cut: 44370, Repeat for: 1, Not Change for: 11
[FM(68)]Cut Size: 44715, Current Best Cut: 44370, Repeat for: 1, Not Change for: 12
[FM(69)]Cut Size: 44715, Current Best Cut: 44370, Repeat for: 1, Not Change for: 13
[FM(70)]Cut Size: 44715, Current Best Cut: 44370, Repeat for: 1, Not Change for: 14
[FM(71)]Cut Size: 44442, Current Best Cut: 44370, Repeat for: 1, Not Change for: 15
[FM(72)]Cut Size: 44442, Current Best Cut: 44370, Repeat for: 1, Not Change for: 16
[FM(73)]Cut Size: 44442, Current Best Cut: 44370, Repeat for: 1, Not Change for: 17
[FM(74)]Cut Size: 44291, Current Best Cut: 44291, Repeat for: 1, Not Change for: 0
[FM(75)]Cut Size: 44280, Current Best Cut: 44280, Repeat for: 1, Not Change for: 0
[FM(76)]Cut Size: 44258, Current Best Cut: 44258, Repeat for: 1, Not Change for: 0
[FM(77)]Cut Size: 44282, Current Best Cut: 44258, Repeat for: 1, Not Change for: 1
[FM(78)]Cut Size: 44239, Current Best Cut: 44239, Repeat for: 1, Not Change for: 0
[FM(79)]Cut Size: 44126, Current Best Cut: 44126, Repeat for: 1, Not Change for: 0
[FM(80)]Cut Size: 44160, Current Best Cut: 44126, Repeat for: 1, Not Change for: 1
[FM(81)]Cut Size: 44232, Current Best Cut: 44126, Repeat for: 1, Not Change for: 2
[FM(82)]Cut Size: 44195, Current Best Cut: 44126, Repeat for: 1, Not Change for: 3
[FM(83)]Cut Size: 44195, Current Best Cut: 44126, Repeat for: 1, Not Change for: 4
[FM(84)]Cut Size: 44195, Current Best Cut: 44126, Repeat for: 1, Not Change for: 5
[FM(85)]Cut Size: 44195, Current Best Cut: 44126, Repeat for: 1, Not Change for: 6
[FM(86)]Cut Size: 44372, Current Best Cut: 44126, Repeat for: 1, Not Change for: 7
[FM(87)]Cut Size: 44366, Current Best Cut: 44126, Repeat for: 1, Not Change for: 8
[FM(88)]Cut Size: 44389, Current Best Cut: 44126, Repeat for: 1, Not Change for: 9
[FM(89)]Cut Size: 44720, Current Best Cut: 44126, Repeat for: 1, Not Change for: 10
[FM(90)]Cut Size: 44720, Current Best Cut: 44126, Repeat for: 1, Not Change for: 11
[FM(91)]Cut Size: 44853, Current Best Cut: 44126, Repeat for: 1, Not Change for: 12
[FM(92)]Cut Size: 44853, Current Best Cut: 44126, Repeat for: 1, Not Change for: 13
[FM(93)]Cut Size: 44476, Current Best Cut: 44126, Repeat for: 1, Not Change for: 14
[FM(94)]Cut Size: 44476, Current Best Cut: 44126, Repeat for: 1, Not Change for: 15
[FM(95)]Cut Size: 44476, Current Best Cut: 44126, Repeat for: 1, Not Change for: 16
[FM(96)]Cut Size: 44689, Current Best Cut: 44126, Repeat for: 1, Not Change for: 17
[FM(97)]Cut Size: 44727, Current Best Cut: 44126, Repeat for: 1, Not Change for: 18
[FM(98)]Cut Size: 44727, Current Best Cut: 44126, Repeat for: 1, Not Change for: 19
[FM(99)]Cut Size: 44302, Current Best Cut: 44126, Repeat for: 1, Not Change for: 20
[FM(100)]Cut Size: 44302, Current Best Cut: 44126, Repeat for: 1, Not Change for: 21
[FM(101)]Cut Size: 44303, Current Best Cut: 44126, Repeat for: 1, Not Change for: 22
[FM(102)]Cut Size: 44131, Current Best Cut: 44126, Repeat for: 1, Not Change for: 23
[FM(103)]Cut Size: 44131, Current Best Cut: 44126, Repeat for: 1, Not Change for: 24
[FM(104)]Cut Size: 44288, Current Best Cut: 44126, Repeat for: 1, Not Change for: 25
[FM(105)]Cut Size: 44288, Current Best Cut: 44126, Repeat for: 1, Not Change for: 26
[FM(106)]Cut Size: 44288, Current Best Cut: 44126, Repeat for: 1, Not Change for: 27
[FM(107)]Cut Size: 44298, Current Best Cut: 44126, Repeat for: 1, Not Change for: 28
[FM(108)]Cut Size: 44146, Current Best Cut: 44126, Repeat for: 1, Not Change for: 29
[FM(109)]Cut Size: 43844, Current Best Cut: 43844, Repeat for: 1, Not Change for: 0
[FM(110)]Cut Size: 43869, Current Best Cut: 43844, Repeat for: 1, Not Change for: 1
[FM(111)]Cut Size: 43806, Current Best Cut: 43806, Repeat for: 1, Not Change for: 0
[FM(112)]Cut Size: 43811, Current Best Cut: 43806, Repeat for: 1, Not Change for: 1
[FM(113)]Cut Size: 43777, Current Best Cut: 43777, Repeat for: 1, Not Change for: 0
[FM(114)]Cut Size: 43780, Current Best Cut: 43777, Repeat for: 1, Not Change for: 1
[FM(115)]Cut Size: 43761, Current Best Cut: 43761, Repeat for: 1, Not Change for: 0
[FM(116)]Cut Size: 43782, Current Best Cut: 43761, Repeat for: 1, Not Change for: 1
[FM(117)]Cut Size: 43780, Current Best Cut: 43761, Repeat for: 1, Not Change for: 2
[FM(118)]Cut Size: 43773, Current Best Cut: 43761, Repeat for: 1, Not Change for: 3
[FM(119)]Cut Size: 43773, Current Best Cut: 43761, Repeat for: 1, Not Change for: 4
[FM(120)]Cut Size: 43723, Current Best Cut: 43723, Repeat for: 1, Not Change for: 0
[FM(121)]Cut Size: 43749, Current Best Cut: 43723, Repeat for: 1, Not Change for: 1
[FM(122)]Cut Size: 43661, Current Best Cut: 43661, Repeat for: 1, Not Change for: 0
[FM(123)]Cut Size: 43714, Current Best Cut: 43661, Repeat for: 1, Not Change for: 1
[FM(124)]Cut Size: 43635, Current Best Cut: 43635, Repeat for: 1, Not Change for: 0
[FM(125)]Cut Size: 43639, Current Best Cut: 43635, Repeat for: 1, Not Change for: 1
[FM(126)]Cut Size: 43676, Current Best Cut: 43635, Repeat for: 1, Not Change for: 2
[FM(127)]Cut Size: 43645, Current Best Cut: 43635, Repeat for: 1, Not Change for: 3
[FM(128)]Cut Size: 43682, Current Best Cut: 43635, Repeat for: 1, Not Change for: 4
[FM(129)]Cut Size: 43648, Current Best Cut: 43635, Repeat for: 1, Not Change for: 5
[FM(130)]Cut Size: 43658, Current Best Cut: 43635, Repeat for: 1, Not Change for: 6
[FM(131)]Cut Size: 43710, Current Best Cut: 43635, Repeat for: 1, Not Change for: 7
[FM(132)]Cut Size: 43710, Current Best Cut: 43635, Repeat for: 1, Not Change for: 8
[FM(133)]Cut Size: 43709, Current Best Cut: 43635, Repeat for: 1, Not Change for: 9
[FM(134)]Cut Size: 43742, Current Best Cut: 43635, Repeat for: 1, Not Change for: 10
[FM(135)]Cut Size: 43741, Current Best Cut: 43635, Repeat for: 1, Not Change for: 11
[FM(136)]Cut Size: 43567, Current Best Cut: 43567, Repeat for: 1, Not Change for: 0
[FM(137)]Cut Size: 43488, Current Best Cut: 43488, Repeat for: 1, Not Change for: 0
[FM(138)]Cut Size: 43517, Current Best Cut: 43488, Repeat for: 1, Not Change for: 1
[FM(139)]Cut Size: 43495, Current Best Cut: 43488, Repeat for: 1, Not Change for: 2
[FM(140)]Cut Size: 43451, Current Best Cut: 43451, Repeat for: 1, Not Change for: 0
[FM(141)]Cut Size: 43437, Current Best Cut: 43437, Repeat for: 1, Not Change for: 0
[FM(142)]Cut Size: 43433, Current Best Cut: 43433, Repeat for: 1, Not Change for: 0
[FM(143)]Cut Size: 43433, Current Best Cut: 43433, Repeat for: 2, Not Change for: 1
[FM(144)]Cut Size: 43433, Current Best Cut: 43433, Repeat for: 3, Not Change for: 2
[FM(145)]Cut Size: 43433, Current Best Cut: 43433, Repeat for: 4, Not Change for: 3
[FM(146)]Cut Size: 43432, Current Best Cut: 43432, Repeat for: 1, Not Change for: 0
[FM(147)]Cut Size: 43432, Current Best Cut: 43432, Repeat for: 2, Not Change for: 1
[FM(148)]Cut Size: 43432, Current Best Cut: 43432, Repeat for: 3, Not Change for: 2
[FM(149)]Cut Size: 43432, Current Best Cut: 43432, Repeat for: 4, Not Change for: 3
[FM(150)]Cut Size: 43430, Current Best Cut: 43430, Repeat for: 1, Not Change for: 0
[FM(151)]Cut Size: 43428, Current Best Cut: 43428, Repeat for: 1, Not Change for: 0
[FM(152)]Cut Size: 43425, Current Best Cut: 43425, Repeat for: 1, Not Change for: 0
[FM(153)]Cut Size: 43423, Current Best Cut: 43423, Repeat for: 1, Not Change for: 0
[FM(154)]Cut Size: 43423, Current Best Cut: 43423, Repeat for: 2, Not Change for: 1
[FM(155)]Cut Size: 43430, Current Best Cut: 43423, Repeat for: 2, Not Change for: 2
[FM(156)]Cut Size: 43410, Current Best Cut: 43410, Repeat for: 1, Not Change for: 0
[FM(157)]Cut Size: 43407, Current Best Cut: 43407, Repeat for: 1, Not Change for: 0
[FM(158)]Cut Size: 43407, Current Best Cut: 43407, Repeat for: 2, Not Change for: 1
[FM(159)]Cut Size: 43407, Current Best Cut: 43407, Repeat for: 3, Not Change for: 2
[FM(160)]Cut Size: 43407, Current Best Cut: 43407, Repeat for: 4, Not Change for: 3
[FM(161)]Cut Size: 43407, Current Best Cut: 43407, Repeat for: 5, Not Change for: 4
[FM(162)]Cut Size: 43534, Current Best Cut: 43407, Repeat for: 5, Not Change for: 5
[FM(163)]Cut Size: 43534, Current Best Cut: 43407, Repeat for: 5, Not Change for: 6
[FM(164)]Cut Size: 43534, Current Best Cut: 43407, Repeat for: 5, Not Change for: 7
[FM(165)]Cut Size: 43534, Current Best Cut: 43407, Repeat for: 5, Not Change for: 8
[FM(166)]Cut Size: 43918, Current Best Cut: 43407, Repeat for: 5, Not Change for: 9
[FM(167)]Cut Size: 43496, Current Best Cut: 43407, Repeat for: 5, Not Change for: 10
[FM(168)]Cut Size: 43552, Current Best Cut: 43407, Repeat for: 5, Not Change for: 11
[FM(169)]Cut Size: 43552, Current Best Cut: 43407, Repeat for: 5, Not Change for: 12
[FM(170)]Cut Size: 43552, Current Best Cut: 43407, Repeat for: 5, Not Change for: 13
[FM(171)]Cut Size: 43847, Current Best Cut: 43407, Repeat for: 5, Not Change for: 14
[FM(172)]Cut Size: 43847, Current Best Cut: 43407, Repeat for: 5, Not Change for: 15
[FM(173)]Cut Size: 43862, Current Best Cut: 43407, Repeat for: 5, Not Change for: 16
[FM(174)]Cut Size: 43462, Current Best Cut: 43407, Repeat for: 5, Not Change for: 17
[FM(175)]Cut Size: 43462, Current Best Cut: 43407, Repeat for: 5, Not Change for: 18
[FM(176)]Cut Size: 43496, Current Best Cut: 43407, Repeat for: 5, Not Change for: 19
[FM(177)]Cut Size: 43496, Current Best Cut: 43407, Repeat for: 5, Not Change for: 20
[FM(178)]Cut Size: 43503, Current Best Cut: 43407, Repeat for: 5, Not Change for: 21
[FM(179)]Cut Size: 43503, Current Best Cut: 43407, Repeat for: 5, Not Change for: 22
[FM(180)]Cut Size: 43504, Current Best Cut: 43407, Repeat for: 5, Not Change for: 23
[FM(181)]Cut Size: 43389, Current Best Cut: 43389, Repeat for: 1, Not Change for: 0
[FM(182)]Cut Size: 43382, Current Best Cut: 43382, Repeat for: 1, Not Change for: 0
[FM(183)]Cut Size: 43391, Current Best Cut: 43382, Repeat for: 1, Not Change for: 1
[FM(184)]Cut Size: 43353, Current Best Cut: 43353, Repeat for: 1, Not Change for: 0
[FM(185)]Cut Size: 43316, Current Best Cut: 43316, Repeat for: 1, Not Change for: 0
[FM(186)]Cut Size: 43286, Current Best Cut: 43286, Repeat for: 1, Not Change for: 0
[FM(187)]Cut Size: 43278, Current Best Cut: 43278, Repeat for: 1, Not Change for: 0
[FM(188)]Cut Size: 43279, Current Best Cut: 43278, Repeat for: 1, Not Change for: 1
[FM(189)]Cut Size: 43282, Current Best Cut: 43278, Repeat for: 1, Not Change for: 2
[FM(190)]Cut Size: 43292, Current Best Cut: 43278, Repeat for: 1, Not Change for: 3
[FM(191)]Cut Size: 43292, Current Best Cut: 43278, Repeat for: 1, Not Change for: 4
[FM(192)]Cut Size: 43316, Current Best Cut: 43278, Repeat for: 1, Not Change for: 5
[FM(193)]Cut Size: 43327, Current Best Cut: 43278, Repeat for: 1, Not Change for: 6
[FM(194)]Cut Size: 43440, Current Best Cut: 43278, Repeat for: 1, Not Change for: 7
[FM(195)]Cut Size: 43449, Current Best Cut: 43278, Repeat for: 1, Not Change for: 8
[FM(196)]Cut Size: 43704, Current Best Cut: 43278, Repeat for: 1, Not Change for: 9
[FM(197)]Cut Size: 43704, Current Best Cut: 43278, Repeat for: 1, Not Change for: 10
[FM(198)]Cut Size: 43366, Current Best Cut: 43278, Repeat for: 1, Not Change for: 11
[FM(199)]Cut Size: 43366, Current Best Cut: 43278, Repeat for: 1, Not Change for: 12
[FM(200)]Cut Size: 43366, Current Best Cut: 43278, Repeat for: 1, Not Change for: 13
[FM(201)]Cut Size: 43439, Current Best Cut: 43278, Repeat for: 1, Not Change for: 14
[FM(202)]Cut Size: 43637, Current Best Cut: 43278, Repeat for: 1, Not Change for: 15
[FM(203)]Cut Size: 43908, Current Best Cut: 43278, Repeat for: 1, Not Change for: 16
[FM(204)]Cut Size: 44064, Current Best Cut: 43278, Repeat for: 1, Not Change for: 17
[FM(205)]Cut Size: 44064, Current Best Cut: 43278, Repeat for: 1, Not Change for: 18
[FM(206)]Cut Size: 44062, Current Best Cut: 43278, Repeat for: 1, Not Change for: 19
[FM(207)]Cut Size: 44093, Current Best Cut: 43278, Repeat for: 1, Not Change for: 20
[FM(208)]Cut Size: 43441, Current Best Cut: 43278, Repeat for: 1, Not Change for: 21
